C,CLC,BC,EC,SPL,PC,IC,SC,AC,PR,KC,total_changes,tempo
0.03625768790998887,0.3352473937597269,0.0020048425178685702,0.02140506640439859,3.000832832832833,-0.03768322807260262,0.003412881028813402,453217.5608606643,0.005000255272115961,0.0010000000000000009,5.0,"[14110, 44892, 37366, 22578, 19296, 3424, 14418, 15114, 2522, 39488, 45964, 9120, 19058, 2762, 21374, 3964, 3662, 40436, 13240, 27578, 17556, 7392, 46812, 41002, 105860, 1138, 12602, 9492, 13318, 2044, 2332, 76746, 27748, 7108, 2930, 17768, 5980, 33284, 46098, 6774, 19192, 11564, 28630, 33742, 4102, 4582, 13090, 14818, 35364, 11736, 8726, 19492, 86732, 50988, 79290, 6428, 1842, 9898, 26064, 6250, 18838, 14818, 10582, 21830, 10884, 11652, 12324, 20894, 13546, 38782, 1780, 17486, 73604, 52616, 51470, 11042, 29064, 3526, 8198, 3920, 14414, 19900, 24352, 38654, 32334, 33958, 36774, 16792, 19788, 11078, 2858, 32682, 43554, 12474, 21596, 19690, 4274, 2086, 1380, 18820]","[670, 2263, 1900, 1142, 970, 148, 733, 752, 84, 1990, 2298, 472, 957, 103, 1120, 138, 155, 2018, 651, 1399, 834, 318, 2365, 2160, 5448, 28, 606, 482, 664, 88, 99, 3858, 1377, 353, 102, 904, 264, 1592, 2393, 323, 990, 579, 1374, 1644, 156, 206, 605, 721, 1771, 585, 441, 988, 4427, 2577, 3977, 261, 66, 450, 1254, 298, 898, 684, 516, 1079, 518, 570, 542, 943, 653, 1950, 45, 893, 3718, 2702, 2647, 544, 1460, 149, 405, 181, 747, 983, 1208, 1951, 1558, 1672, 1844, 857, 1008, 518, 85, 1621, 2158, 597, 1052, 990, 194, 73, 39, 933]"
0.034630098515483515,0.33472902253589104,0.002008814425648093,0.02160369408497633,3.004796796796797,-0.03613156158184613,0.0034273818198856903,319749.5886358948,0.005018587281001807,0.0010000000000000005,5.0,"[41962, 32690, 75822, 6460, 18818, 21478, 17812, 24212, 1432, 40358, 3842, 41802, 7812, 25902, 57608, 37640, 6670, 29224, 55260, 18886, 31700, 19528, 44872, 68690, 7078, 8450, 5662, 1246, 22656, 3712, 50856, 53568, 4676, 2788, 26274, 15960, 10662, 10694, 13224, 17140, 11080, 46362, 12658, 26588, 39642, 7638, 44218, 74964, 5356, 1166, 8968, 64122, 6836, 49546, 40358, 21464, 29784, 12808, 9436, 31180, 13630, 5534, 19732, 18608, 23950, 13534, 11662, 66424, 17904, 18942, 24908, 25366, 42738, 157324, 8510, 3130, 5072, 4038, 2370, 22640, 79682, 43358, 36628, 12478, 19920, 15628, 54478, 40008, 25368, 18468, 97138, 52332, 4062, 48012, 9990, 12344, 16742, 15194, 32020, 176272]","[2135, 1672, 3827, 323, 923, 1052, 831, 1218, 55, 2128, 148, 2072, 355, 1278, 2956, 1940, 299, 1500, 2801, 932, 1568, 999, 2266, 3536, 333, 392, 241, 31, 1115, 170, 2530, 2715, 188, 99, 1355, 819, 490, 547, 645, 833, 508, 2352, 596, 1342, 1962, 386, 2245, 3795, 251, 37, 414, 3213, 316, 2483, 2080, 1113, 1479, 622, 467, 1561, 703, 234, 958, 930, 1168, 660, 587, 3346, 920, 938, 1261, 1278, 2210, 8171, 422, 136, 223, 179, 84, 1172, 4008, 2186, 1896, 627, 995, 750, 2754, 2020, 1279, 899, 4967, 2664, 168, 2381, 446, 628, 852, 727, 1579, 9013]"
0.03315367036208789,0.3346090311396462,0.0020107722953414337,0.020953197794430847,3.0067507507507507,-0.012249455447986658,0.003437239545334263,598671.130400066,0.005099357464400882,0.000999999999999999,5.0,"[30080, 30236, 10304, 9524, 16244, 115900, 30072, 41066, 116306, 3346, 31774, 57848, 30106, 5744, 15826, 7872, 1602, 5870, 26808, 3728, 39320, 30844, 2850, 3128, 7420, 2086, 15186, 47716, 11758, 41704, 9238, 23788, 78324, 6362, 3540, 43266, 23722, 14368, 21064, 23510, 136510, 2790, 3428, 49500, 39342, 21862, 6538, 14434, 49440, 15462, 9778, 2276, 9588, 48580, 60616, 2684, 11640, 12592, 10352, 93248, 37620, 27594, 23856, 57932, 47996, 33120, 115434, 17146, 25976, 10800, 61586, 4996, 1178, 31324, 2916, 45886, 2410, 1746, 4882, 4724, 25190, 22838, 32744, 3496, 39328, 24770, 22258, 1952, 106184, 53572, 20482, 51612, 18982, 25772, 2714, 63722, 9924, 19446, 7552, 12126]","[1547, 1507, 457, 464, 826, 6018, 1495, 2089, 6083, 155, 1562, 2961, 1481, 283, 752, 376, 44, 271, 1356, 151, 2040, 1556, 116, 123, 352, 89, 730, 2399, 576, 2108, 437, 1158, 4050, 310, 125, 2219, 1148, 687, 1032, 1206, 7029, 107, 133, 2468, 2078, 1081, 291, 683, 2514, 790, 432, 79, 484, 2507, 3107, 111, 564, 618, 482, 4798, 1978, 1447, 1260, 2884, 2434, 1632, 5842, 876, 1343, 536, 3153, 240, 29, 1535, 120, 2298, 87, 58, 232, 223, 1221, 1151, 1575, 164, 1959, 1160, 1082, 68, 5405, 2761, 953, 2595, 930, 1261, 95, 3250, 481, 955, 316, 575]"
0.0332374376625522,0.33464909517020425,0.0020103490263810907,0.021374950162951725,3.0063283283283284,-0.025193520445861005,0.0034196378024851453,427907.9008817904,0.004967925394416849,0.0010000000000000005,5.0,"[3792, 40378, 15656, 17956, 32128, 31534, 55594, 27196, 55884, 3488, 78002, 54702, 13384, 45192, 12438, 44100, 8200, 3236, 51662, 26630, 10924, 27404, 19680, 1856, 5568, 15738, 10408, 115238, 42690, 7404, 24914, 30948, 71268, 2336, 13490, 4624, 880, 39986, 2588, 31136, 68166, 1268, 3836, 5366, 14918, 9390, 32710, 23858, 3430, 12494, 78932, 13382, 29376, 1572, 8220, 68216, 77486, 3056, 47524, 7658, 4558, 81912, 19618, 52502, 2442, 49488, 4146, 30442, 17628, 7372, 15826, 1882, 7672, 32552, 40792, 146796, 70806, 25190, 36696, 18352, 11810, 41230, 36798, 29274, 12490, 39920, 10958, 41182, 60170, 43760, 27314, 40900, 12686, 26608, 5128, 31722, 15626, 7540, 16666, 31442]","[162, 2098, 794, 855, 1642, 1583, 2831, 1350, 2769, 144, 4024, 2792, 692, 2254, 644, 2292, 392, 146, 2585, 1260, 517, 1431, 975, 55, 234, 786, 492, 5894, 2082, 344, 1231, 1542, 3631, 86, 717, 177, 17, 2061, 119, 1589, 3531, 31, 161, 231, 742, 456, 1615, 1217, 126, 640, 3957, 673, 1438, 43, 366, 3443, 4005, 111, 2481, 357, 205, 4130, 947, 2649, 90, 2501, 187, 1476, 880, 345, 762, 72, 354, 1632, 2012, 7438, 3603, 1274, 1880, 920, 551, 2076, 1824, 1434, 601, 2046, 501, 2089, 3109, 2210, 1429, 2122, 617, 1326, 233, 1588, 737, 349, 810, 1549]"
0.03799678714970483,0.3351166413062084,0.0020064433170645596,0.021047323026802216,3.0024304304304303,-0.01989973794060895,0.003424044208281622,675586.5725577004,0.00493806462307547,0.0009999999999999994,5.0,"[4978, 23004, 114120, 2126, 24088, 12778, 1532, 10880, 11068, 23110, 16364, 5868, 28202, 26190, 80100, 7184, 7842, 16130, 3196, 1322, 8900, 66338, 29508, 36314, 10016, 3702, 42906, 76220, 8350, 25368, 7854, 21076, 97712, 29650, 53634, 4910, 4936, 8922, 12264, 37522, 3176, 23016, 13192, 51786, 33078, 11372, 123988, 24464, 7790, 45842, 21486, 28764, 60248, 24376, 1644, 3990, 24556, 7618, 6842, 7960, 46034, 12884, 1998, 28010, 41014, 14434, 1034, 10330, 2706, 25584, 15286, 9170, 5478, 6128, 2940, 81766, 45214, 44932, 13258, 1998, 43438, 17060, 6860, 19176, 3060, 17586, 6926, 1682, 7294, 40674, 8794, 29132, 4048, 39280, 18694, 9826, 12740, 12798, 2624, 24432]","[226, 1108, 5938, 59, 1199, 658, 38, 535, 515, 1095, 756, 257, 1396, 1280, 4155, 338, 381, 824, 125, 39, 409, 3345, 1472, 1867, 517, 153, 2072, 3952, 395, 1272, 372, 1033, 5012, 1537, 2707, 205, 229, 436, 583, 1964, 143, 1136, 651, 2627, 1662, 551, 6293, 1212, 381, 2276, 1072, 1454, 3103, 1224, 47, 169, 1250, 375, 301, 369, 2301, 614, 72, 1389, 2090, 711, 17, 478, 97, 1293, 763, 429, 255, 275, 115, 4160, 2383, 2286, 632, 46, 2132, 854, 311, 936, 111, 871, 334, 60, 365, 2058, 419, 1554, 166, 2011, 946, 516, 550, 660, 92, 1237]"
0.03230104803665833,0.33078436634435915,0.0020458976010078213,0.02104058053196601,3.0418058058058057,0.00019443808442872663,0.00345133514719073,286803.3252912779,0.0050339150082407405,0.0010000000000000009,5.0,"[65632, 35958, 5808, 51742, 101502, 20642, 35612, 2056, 18786, 2786, 4272, 5920, 16338, 55060, 27102, 21238, 18854, 13414, 31000, 33360, 8470, 31356, 36254, 1312, 35280, 13178, 10648, 10026, 4980, 3126, 86692, 16096, 11094, 1554, 32986, 44672, 972, 40760, 38746, 9410, 36230, 6668, 13502, 29368, 36116, 6402, 2690, 23074, 9958, 28728, 10538, 4260, 65028, 35492, 1828, 1766, 1198, 4284, 9838, 77472, 66168, 24624, 24814, 4850, 19290, 12916, 50932, 31936, 52406, 22320, 4538, 13890, 4290, 13130, 34374, 2476, 4514, 3860, 32716, 50088, 21678, 12386, 66730, 31688, 37334, 7526, 35894, 89374, 82326, 22050, 7556, 3396, 23110, 17490, 5744, 51700, 8268, 75642, 12258, 15246]","[3324, 1811, 267, 2709, 5176, 1000, 1811, 74, 963, 74, 202, 273, 813, 2809, 1369, 1063, 930, 619, 1518, 1721, 439, 1619, 1881, 38, 1832, 643, 476, 482, 251, 127, 4458, 789, 525, 44, 1736, 2288, 15, 2055, 1930, 439, 1834, 322, 653, 1476, 1845, 292, 99, 1224, 475, 1394, 490, 178, 3322, 1812, 53, 52, 31, 200, 464, 3863, 3319, 1225, 1268, 209, 967, 603, 2549, 1640, 2656, 1119, 211, 685, 179, 661, 1745, 84, 190, 147, 1687, 2572, 1083, 599, 3432, 1597, 1888, 361, 1837, 4586, 4240, 1117, 374, 131, 1121, 833, 251, 2657, 384, 3768, 610, 749]"
0.04023845269500602,0.335071423734088,0.002006178523212591,0.021293723698265245,3.002166166166166,-0.02764158413872795,0.0034186032044404204,497695.02672475675,0.004990316846498759,0.0010000000000000009,5.0,"[8280, 32824, 28094, 7798, 19988, 9426, 2402, 42064, 10262, 6108, 2844, 36758, 22436, 17002, 6700, 45110, 11874, 14448, 13062, 21818, 33450, 5006, 33402, 14806, 15220, 14026, 4200, 7640, 20022, 34344, 39228, 27154, 3654, 37850, 11202, 7026, 40562, 2554, 17048, 13436, 17776, 8986, 16028, 8482, 37282, 49498, 53030, 68788, 17572, 68404, 41142, 8502, 10304, 2848, 14044, 54038, 27768, 14622, 26592, 4734, 15472, 3994, 11550, 9446, 13520, 1366, 24464, 23366, 5640, 102562, 10952, 6222, 19814, 42208, 24538, 37284, 23132, 43206, 80194, 29404, 20922, 37626, 15904, 5892, 8410, 11836, 9968, 72016, 22356, 57614, 66492, 4114, 11728, 14338, 7070, 37598, 1700, 27216, 1972, 57184]","[426, 1652, 1446, 334, 987, 472, 62, 2103, 461, 265, 108, 1891, 1149, 829, 328, 2237, 541, 651, 652, 1056, 1715, 212, 1698, 730, 744, 691, 184, 327, 1020, 1699, 2026, 1396, 158, 1930, 562, 334, 2054, 93, 825, 686, 888, 416, 775, 400, 1825, 2530, 2739, 3533, 851, 3484, 2058, 375, 512, 120, 655, 2791, 1433, 698, 1345, 207, 821, 160, 538, 468, 641, 36, 1248, 1176, 235, 5240, 540, 277, 991, 2174, 1253, 1874, 1157, 2201, 4129, 1487, 1089, 1878, 753, 264, 362, 584, 491, 3660, 1104, 3009, 3390, 183, 563, 675, 343, 1943, 39, 1415, 64, 2922]"
0.035053577072159746,0.33416645152398305,0.002014469379198838,0.021315669033623006,3.0104404404404406,-0.01990562320894485,0.0034188854187751517,440192.29713921034,0.004917119869383347,0.0010000000000000005,5.0,"[25176, 27252, 15008, 14640, 25236, 51344, 6094, 79070, 69986, 18268, 5566, 56484, 43190, 17416, 5272, 23330, 5382, 8392, 3872, 25096, 17928, 32652, 38426, 13710, 3434, 30826, 11066, 10728, 9436, 38518, 5952, 63278, 5578, 4328, 17698, 19312, 12548, 7912, 27006, 14382, 13072, 39584, 5736, 16352, 2050, 10800, 21498, 26292, 2688, 7196, 67032, 4962, 3094, 46726, 13588, 21490, 3590, 17062, 1142, 5326, 11940, 39642, 49960, 40616, 22420, 27770, 32204, 8768, 18146, 44508, 23266, 37366, 3676, 23618, 43734, 2922, 13750, 17692, 37082, 68230, 15048, 7792, 19028, 3102, 9906, 41686, 20120, 22730, 21136, 36822, 1020, 5990, 48264, 8592, 3806, 18610, 806, 9812, 2204, 6782]","[1234, 1332, 712, 723, 1216, 2568, 277, 4039, 3529, 882, 252, 2776, 2220, 856, 249, 1186, 206, 414, 166, 1288, 932, 1666, 1886, 694, 133, 1564, 551, 538, 471, 1965, 249, 3203, 252, 201, 885, 965, 584, 344, 1333, 688, 666, 2021, 259, 778, 73, 541, 1069, 1325, 110, 320, 3405, 220, 125, 2365, 684, 1031, 151, 833, 28, 265, 579, 2080, 2531, 2094, 1124, 1399, 1629, 413, 908, 2290, 1151, 1871, 149, 1222, 2232, 121, 683, 857, 1858, 3499, 786, 404, 923, 106, 453, 2158, 991, 1111, 1089, 1771, 23, 276, 2440, 397, 165, 931, 13, 446, 76, 313]"
0.029714320424299626,0.3314610189575785,0.0020392276043578643,0.021373337079731162,3.035149149149149,-0.009321087049245736,0.0034437452587810654,233516.06254091937,0.0048965934264154605,0.0009999999999999992,5.0,"[46910, 11594, 17244, 28376, 136032, 2568, 19146, 5350, 15288, 6990, 30136, 40924, 30860, 2948, 66314, 73504, 25456, 62854, 6168, 968, 43224, 3782, 18508, 1268, 14020, 14564, 41278, 3806, 4254, 2654, 45582, 16824, 97686, 60088, 42896, 10020, 6294, 88812, 72424, 20906, 22534, 40540, 676, 8190, 19390, 16772, 14178, 3392, 8700, 84816, 4234, 43994, 19764, 20062, 38536, 55934, 25300, 43070, 39248, 13322, 59748, 11288, 28944, 45692, 5926, 11462, 20442, 26798, 32772, 6712, 3668, 7492, 47106, 3762, 21432, 25358, 6758, 13450, 40132, 163816, 61746, 18968, 43566, 9470, 35438, 23944, 26176, 15744, 3436, 44742, 38024, 37876, 84218, 7018, 177392, 50290, 29436, 23508, 93078, 1486]","[2370, 572, 833, 1367, 7085, 95, 970, 247, 759, 319, 1498, 2058, 1587, 117, 3365, 3734, 1290, 3241, 288, 25, 2135, 156, 946, 39, 702, 742, 2037, 161, 190, 77, 2339, 803, 4998, 3082, 2147, 464, 284, 4540, 3639, 1002, 1141, 2002, 9, 361, 941, 858, 694, 158, 425, 4398, 179, 2264, 1017, 1058, 1928, 2831, 1251, 2126, 1938, 683, 3087, 536, 1427, 2400, 287, 558, 983, 1393, 1669, 330, 156, 350, 2410, 146, 1068, 1274, 293, 643, 2009, 8377, 3216, 916, 2157, 492, 1755, 1203, 1326, 767, 128, 2255, 1883, 1947, 4381, 309, 8954, 2602, 1551, 1141, 4742, 39]"
0.03925917317109017,0.33473259808408007,0.0020105596578542466,0.020785608350480426,3.0065385385385386,-0.01770506588061064,0.0034364393702007944,826494.0037247749,0.005019095075252202,0.0009999999999999992,5.0,"[2384, 21980, 3010, 6310, 98212, 21806, 1074, 47858, 16464, 8896, 3346, 80354, 1856, 11724, 40310, 9834, 9688, 9096, 49770, 3280, 2254, 29954, 13826, 63828, 820, 20352, 86502, 57404, 12588, 29576, 54468, 13914, 14340, 4282, 36524, 30566, 18730, 39962, 27690, 33788, 5536, 24930, 30188, 1374, 22948, 58852, 8744, 33992, 5620, 9402, 20222, 1052, 11358, 18650, 79056, 37074, 25346, 24386, 9826, 35496, 29462, 16400, 11776, 63510, 54610, 7942, 32132, 39014, 2942, 9660, 62104, 18168, 27622, 71530, 20892, 13308, 27670, 58704, 15110, 66006, 9396, 18344, 4814, 16528, 42360, 47320, 60144, 3018, 42708, 18734, 25704, 36116, 31874, 3372, 46760, 19140, 5166, 32752, 14340, 2188]","[94, 1100, 116, 282, 4893, 1047, 23, 2417, 807, 432, 147, 4076, 57, 564, 2023, 456, 466, 464, 2537, 131, 76, 1492, 700, 3257, 13, 1007, 4352, 2901, 630, 1501, 2755, 685, 704, 191, 1890, 1477, 894, 1983, 1386, 1691, 252, 1216, 1513, 42, 1138, 3001, 415, 1754, 276, 471, 979, 19, 532, 884, 4005, 1935, 1222, 1251, 488, 1716, 1508, 798, 557, 3268, 2761, 396, 1565, 1924, 122, 480, 3143, 879, 1389, 3652, 1093, 663, 1428, 3016, 759, 3380, 476, 913, 231, 807, 2092, 2376, 3128, 135, 2107, 946, 1247, 1868, 1611, 136, 2458, 956, 226, 1649, 676, 62]"
